country,location_name,latitude,longitude,avg_temperature_celsius,avg_precip_mm,avg_humidity,avg_pm25
Afghanistan,Kabul,34.5167,69.1833,16.82252100840336,0.03591596638655462,28.551260504201682,20.49105882352941
Afghanistan,Kabul,34.52,69.18,27.884172661870505,0.04043165467625899,21.48201438848921,11.458381294964028
Albania,Tirana,41.3275,19.8189,16.36829679595278,0.13642495784148398,61.13490725126476,16.122259696458684
Albania,Tirana,41.33,19.82,31.071223021582732,0.15942446043165467,42.84172661870504,9.582589928057555
Algeria,Algiers,36.76,3.05,29.053623188405798,0.004057971014492754,50.34782608695652,13.106811594202899
Algeria,Algiers,36.7631,3.0506,18.086003372681283,0.06232715008431703,68.35244519392917,19.8195784148398
Andorra,Andorra La Vella,42.5,1.5167,6.223232323232323,0.10277777777777779,69.28451178451178,5.128016835016835
Andorra,Andorra La Vella,42.5,1.52,18.882014388489207,0.20115107913669064,48.96402877697842,2.8519784172661873
Angola,Luanda,-8.84,13.23,25.834532374100718,0.00014388489208633093,68.05035971223022,62.48758992805755
Angola,Luanda,-8.8383,13.2344,26.114309764309763,0.04218855218855219,77.27272727272727,22.7868265993266
Antigua and Barbuda,Saint John's,17.1167,-61.85,25.72652027027027,0.12244932432432432,79.19594594594595,11.944947635135135
Antigua and Barbuda,Saint John's,17.12,-61.85,28.791240875912408,0.09686131386861313,76.44525547445255,4.077102189781022
Argentina,Buenos Aires,-34.59,-58.67,10.77536231884058,0.059202898550724636,80.45652173913044,9.507101449275362
Argentina,Buenos Aires,-34.5875,-58.6725,15.857166947723439,0.1024283305227656,82.60033726812816,11.490075885328835
Armenia,Yerevan,40.18,44.51,30.102877697841727,0.06741007194244605,26.294964028776977,8.56025179856115
Armenia,Yerevan,40.1811,44.5136,13.488047138047138,0.04523569023569024,49.496632996633,14.593981481481483
Australia,Canberra,-35.2833,149.2167,17.576599326599325,0.10580808080808081,59.122895622895626,8.641767676767676
Australia,Canberra,-35.28,149.22,6.423913043478261,0.10253623188405797,83.72463768115942,3.761485507246377
Australia,Melbourne,-37.82,144.97,11.6,0.0,54.0,2.8
Austria,Vienna,48.2,16.3667,9.73546218487395,0.05736134453781513,71.82689075630252,20.360697478991597
Austria,Vienna,48.2,16.37,24.906521739130433,0.1376086956521739,51.30434782608695,5.845253623188405
Azerbaijan,Baku,40.3953,49.8822,16.37020202020202,0.04156565656565657,65.57575757575758,17.214503367003367
Azerbaijan,Baku,40.4,49.88,28.102173913043476,0.005652173913043478,46.789855072463766,15.282282608695652
Bahamas,Nassau,25.08,-77.35,28.4007299270073,0.10627737226277373,79.2919708029197,4.220036496350365
Bahamas,Nassau,25.0833,-77.35,23.694247038917087,0.058054145516074455,81.08798646362098,9.911548223350254
Bahrain,Manama,26.2361,50.5831,27.90909090909091,0.005420875420875421,51.63468013468013,66.37684343434344
Bahrain,Manama,26.24,50.58,36.910071942446045,0.0,46.36690647482014,54.70661870503597
Bangladesh,Dhaka,23.72,90.41,30.327536231884057,0.5607246376811594,72.23913043478261,25.75557971014493
Bangladesh,Dhaka,23.7231,90.4086,31.226430976430976,0.2303367003367003,40.53703703703704,80.04569865319864
Barbados,Bridgetown,13.1,-59.62,28.83884892086331,0.16158273381294966,80.07913669064749,3.56805035971223
Barbados,Bridgetown,13.1,-59.6167,26.576351351351352,0.1338006756756757,79.50844594594595,12.938714527027027
Belarus,Minsk,53.9,27.5667,6.358347386172007,0.0633220910623946,76.82967959527825,16.050919055649242
Belarus,Minsk,53.9,27.57,23.091366906474818,0.17158273381294964,53.776978417266186,5.8496762589928055
Belgium,'S Gravenjansdijk,51.25,3.63,20.834862385321102,0.1408256880733945,64.10091743119266,7.634174311926605
Belgium,'S Gravenjansdijk,51.25,3.6333,12.035714285714286,0.06478260869565217,76.64285714285714,23.51166149068323
Belgium,'S Gravenjansdyk,51.25,3.63,16.341666666666665,0.16083333333333333,67.58333333333333,2.4583333333333335
Belgium,'S Gravenstaffel,50.88,2.98,15.5625,0.18875,80.5,4.675
Belgium,'S-Gravenbrakel,50.6,4.1333,8.283060109289618,0.07994535519125683,85.61748633879782,11.475765027322405
Belgium,Brussels,50.83,4.33,19.914492753623186,0.1108695652173913,66.26811594202898,6.9670289855072465
Belgium,Brussels,50.8333,4.3333,10.116161616161616,0.07316498316498317,79.83333333333333,21.006725589225592
Belize,Belmopan,17.25,-88.77,25.946043165467625,0.1216546762589928,93.45323741007195,3.413618705035971
Belize,Belmopan,17.25,-88.7667,21.17792869269949,0.12290322580645162,96.28692699490662,7.944847198641766
Benin,Porto-Novo,6.48,2.62,28.886231884057974,0.12942028985507245,73.94927536231884,6.453550724637681
Benin,Porto-Novo,6.4833,2.6167,28.143097643097644,0.08590909090909091,81.64646464646465,30.84526936026936
Bhutan,Thimphu,27.48,89.6,14.138405797101449,0.4921014492753623,91.15942028985508,6.930579710144928
Bhutan,Thimphu,27.4833,89.6,13.172175379426644,0.25620573355817877,53.96964586846543,10.450370994940977
Bolivia,National,-11.1833,-67.0833,21.964237288135593,0.16035593220338984,88.39491525423729,11.780220338983051
Bolivia,National,-11.18,-67.08,24.8231884057971,0.0010144927536231885,52.492753623188406,41.0751884057971
Bolivia,Sucre,-19.0431,-65.2592,11.874406779661017,0.11776271186440679,78.8542372881356,6.288644067796611
Bolivia,Sucre,-19.04,-65.26,12.074452554744527,0.0032846715328467154,54.56934306569343,10.498613138686132
Bosnia and Herzegovina,Sarajevo,43.85,18.38,26.22589928057554,0.2941726618705036,47.36690647482014,7.910647482014388
Bosnia and Herzegovina,Sarajevo,43.85,18.3833,9.534175084175084,0.125993265993266,77.35690235690235,30.596329966329968
Botswana,Gaborone,-24.65,25.91,25.374820143884893,0.0005035971223021583,20.892086330935253,10.778129496402878
Botswana,Gaborone,-24.6464,25.9119,22.192255892255893,0.06562289562289562,59.695286195286194,15.852373737373737
Brazil,Bras,-2.0833,-58.1667,23.12508474576271,0.23127118644067796,89.27796610169491,10.386254237288137
Brazil,Bras,-2.08,-58.17,28.471014492753625,0.1013768115942029,61.18840579710145,6.256376811594203
Brazil,Sao Paulo,-23.53,-46.62,17.9,0.09,90.0,13.1
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,27.60072463768116,0.6179710144927536,87.68115942028986,7.643152173913043
Brunei Darussalam,Bandar Seri Begawan,4.8833,114.9333,29.900843170320407,0.4620067453625633,74.11973018549747,16.2997892074199
Bulgaria,Bogot,43.3167,24.7,13.763116370808678,0.06840236686390533,58.256410256410255,19.081952662721893
Bulgaria,Bogot,43.32,24.7,29.91897810218978,0.13036496350364962,33.51094890510949,6.978175182481752
Bulgaria,Lom,43.81,23.24,26.202777777777776,0.23249999999999998,43.02777777777778,4.777777777777778
Bulgaria,Lom,43.8139,23.2361,8.460661764705883,0.08562499999999999,79.09191176470588,16.110202205882356
Bulgaria,Sofia,42.68,23.32,27.078832116788323,0.25299270072992697,40.386861313868614,7.268467153284671
Bulgaria,Sofia,42.6833,23.3167,10.431260504201681,0.07947899159663865,68.18151260504202,25.086890756302523
Burkina Faso,Ouagadougou,12.37,-1.52,32.00217391304348,0.16608695652173913,57.68840579710145,7.497717391304348
Burkina Faso,Ouagadougou,12.3703,-1.5247,26.961848739495796,0.022084033613445377,49.240336134453784,48.890462184873954
Burundi,Bujumbura,-3.38,29.36,28.123741007194244,0.07287769784172662,47.35251798561151,16.13370503597122
Burundi,Bujumbura,-3.3761,29.36,25.153781512605043,0.21719327731092436,66.27226890756303,27.470949579831935
Bélgica,Bern,51.1,4.75,17.4,0.12,63.0,1.8
Cambodia,Phnom Penh,11.55,104.9167,32.467790893760544,0.11581787521079259,55.691399662731875,31.63473018549747
Cambodia,Phnom Penh,11.55,104.92,29.338405797101448,0.2526086956521739,81.21739130434783,14.703115942028985
Cambodia,Phnum Penh,11.55,104.92,26.3,0.0,74.0,15.5
Cameroon,Bafoussam,5.47,10.42,22.677777777777777,0.6633333333333333,77.72222222222223,1.7666666666666666
Cameroon,Douala,4.05,9.7,27.6,0.9,80.0,3.6
Cameroon,Douala,4.0503,9.7,25.464835164835165,0.182014652014652,96.05860805860806,21.639871794871798
Cameroon,Ngaoundere,7.3167,13.5833,25.870496894409936,0.12180124223602484,50.27639751552795,34.27211180124224
Cameroon,Ngaoundere,7.32,13.58,23.889215686274508,0.5951960784313726,74.33333333333333,3.032303921568628
Cameroon,Yaounde,3.87,11.52,29.79375,0.31625,61.25,3.8000000000000003
Canada,Ottawa,45.4167,-75.7,2.004898648648649,0.12241554054054053,82.02195945945945,9.45612331081081
Canada,Ottawa,45.42,-75.7,17.272661870503597,0.2364028776978417,85.23741007194245,5.805215827338129
Cape Verde,Praia,14.93,-23.51,27.72158273381295,0.035035971223021586,66.55395683453237,10.911007194244606
Cape Verde,Praia,14.9315,-23.5125,22.998989898989898,0.00675084175084175,72.65656565656566,27.64388047138047
Central African Republic,Bangui,4.3667,18.5833,27.076767676767677,0.10626262626262625,73.87037037037037,32.536026936026936
Central African Republic,Bangui,4.37,18.58,31.11014492753623,0.18318840579710147,59.01449275362319,3.7453985507246377
Chad,N'djamena,12.11,15.05,33.22374100719425,0.17755395683453237,54.42446043165467,12.332446043165469
Chad,N'djamena,12.1131,15.0492,28.39798319327731,0.00826890756302521,36.64873949579832,55.170369747899166
