feature,importance
feels_like_celsius,14.647116169979295
humidity,0.873066625362948
wind_mph,0.2507924282652351
wind_kph,0.23229141592177477
latitude,0.018167133387625323
gust_mph,0.017896400590281435
uv_index,0.01783862278238073
gust_kph,0.017786271981222256
longitude,0.01727218269239289
pressure_in,0.010957478492904682
visibility_km,0.010937278023263997
air_quality_Carbon_Monoxide,0.009296555545972519
precip_mm,0.009042389460783395
air_quality_PM10,0.005211832769650015
condition_text,0.004984608176554684
visibility_miles,0.004715733375074904
air_quality_PM2.5,0.004142480582695984
cloud,0.003544949130887132
air_quality_Nitrogen_dioxide,0.002345558209110732
pressure_mb,0.0022217457368742034
