country,avg_temperature_celsius,avg_precip_mm,avg_humidity,avg_pm25,record_count
Saudi Arabien,45.0,0.0,7.0,22.3,1
Marrocos,40.3,0.0,14.0,8.2,1
Turkménistan,37.8,0.0,11.0,6.7,1
Турция,34.0,0.0,44.0,11.3,1
Qatar,32.123255813953485,0.0009712722298221613,41.26265389876881,56.63699042407661,731
United Arab Emirates,32.12210095497954,0.0003819918144611187,44.02864938608458,56.90730559345157,733
Cambodia,31.86939890710383,0.141448087431694,60.528688524590166,28.42066256830601,732
Oman,31.566166439290587,0.004256480218281037,51.005457025920876,35.68223601637108,733
Djibouti,31.29233926128591,0.02485636114911081,56.047879616963066,28.335547195622436,731
Inde,31.2,0.0,71.0,34.6,1
Thailand,31.157094133697136,0.20995225102319237,58.81718963165075,28.762959754433837,1466
Bangladesh,31.056967213114756,0.2926229508196721,46.513661202185794,69.8106762295082,732
Myanmar,30.928103683492495,0.4002728512960436,70.13096862210095,28.402032742155523,733
Kuwait,30.694125683060108,0.009480874316939891,28.5,91.23344262295083,732
Malaysia,30.509972677595627,0.5853551912568307,69.04508196721312,59.658142076502735,732
Saudi Arabia,30.467896174863387,0.002622950819672131,19.19672131147541,137.04506830601093,732
Philippines,30.3646174863388,0.3428415300546448,70.48087431693989,27.88052595628415,732
Sri Lanka,30.252660300136426,0.43417462482946795,72.76671214188268,25.83976807639836,733
India,30.00109439124487,0.056456908344733235,44.66347469220246,110.34614911080712,731
Singapore,29.92005457025921,0.375075034106412,68.9699863574352,21.231098226466575,733
Sudan,29.820109439124487,0.016080711354309163,26.533515731874147,45.4375170998632,1462
火鸡,29.7,0.0,24.0,3.0,1
Bahrain,29.615961800818553,0.004392905866302864,50.63574351978172,64.1637994542974,733
Brunei Darussalam,29.46662106703146,0.4914500683994528,76.6798905608755,14.665567715458277,731
Chad,29.311852861035426,0.040326975476839236,40.014986376021795,47.05801089918256,734
Kosovo,29.3,0.27,42.0,6.3,1
Niger,29.006139154160984,0.023260572987721693,40.16234652114598,29.42729195088677,733
Seychelles Islands,28.91217510259918,0.12543091655266758,74.62106703146375,8.54841997264022,731
Somalia,28.852941176470587,0.0293296853625171,75.09712722298221,11.735198358413133,731
Tuvalu,28.80900409276944,0.35294679399727147,81.48976807639836,5.981236016371078,733
Iraq,28.47275204359673,0.01904632152588556,30.87874659400545,36.474175749318796,734
Palau,28.396584699453552,0.40702185792349727,81.09836065573771,5.553871584699454,732
Indonesia,28.31935923653715,0.4821949556918882,74.453306066803,83.66901840490797,1467
Benin,28.283196721311473,0.0941120218579235,80.19535519125684,26.246830601092896,732
Pakistan,28.215731874145007,0.09054719562243502,31.61833105335157,50.881764705882354,731
Marshall Islands,28.21405184174625,0.32124147339699866,81.2237380627558,6.100848567530695,733
Micronesia,28.181805745554037,0.3663201094391245,83.17783857729138,6.117607387140904,731
Kiribati,28.01571038251366,0.08292349726775956,74.89480874316939,9.674255464480876,732
Maldives,27.94219178082192,0.21420547945205481,74.73013698630137,12.974349315068492,730
Burkina Faso,27.910777626193724,0.04919508867667122,50.83083219645293,41.097557980900405,733
Togo,27.9,0.16,74.0,7.9,1
Central African Republic,27.837158469945354,0.12076502732240438,71.06967213114754,27.108285519125683,732
Saint-Vincent-et-les-Grenadines,27.8,0.13,82.0,1.8,1
Polônia,27.7,0.0,52.0,2.5,1
Mexique,27.4,0.0,72.0,10.3,1
Solomon Islands,27.35743519781719,0.4307230559345157,85.24010914051841,2.8650532060027283,733
Ghana,27.315803814713895,0.08059945504087195,82.36512261580381,17.20542234332425,734
Saint Vincent and the Grenadines,27.25068493150685,0.1366986301369863,77.17260273972603,11.100939726027397,730
Nigeria,27.172987721691676,0.11023192360163711,67.21555252387449,50.296132332878585,733
Grenada,27.071291208791212,0.14840659340659343,82.50274725274726,11.908332417582416,728
Vietnam,27.030944350758855,0.2692242833052277,68.69392917369309,59.087148397976385,1186
Saint Lucia,27.021448087431693,0.14415300546448087,80.3292349726776,11.323525956284152,732
Barbados,27.00656634746922,0.13908344733242134,79.61696306429549,11.156878248974008,731
Libya,27.0,0.0,74.0,38.8,1
Equatorial Guinea,26.96239782016349,0.3385694822888283,87.15122615803814,12.372043596730245,734
Papua New Guinea,26.90013642564802,0.4897817189631651,82.537517053206,7.980327421555252,733
Mauritius,26.810109289617486,0.08724043715846995,68.74726775956285,8.224234972677596,732
Jamaica,26.795479452054796,0.16579452054794522,77.77945205479452,12.319534246575342,730
Gabon,26.782240437158467,0.19241803278688524,83.48770491803279,14.221584699453553,732
Comoros,26.66484268125855,0.25149110807113545,73.0,8.618488372093022,731
Saint Kitts and Nevis,26.589876880984953,0.1350889192886457,79.69904240766074,8.858261285909713,731
Mali,26.57937158469945,0.07337431693989072,55.39071038251366,29.576079234972674,732
Dominica,26.527434842249658,0.12991769547325105,77.73113854595336,10.647318244170096,729
Congo,26.496443228454176,0.1375376196990424,74.53077975376198,25.103693570451437,731
Timor-Leste,26.44150684931507,0.4021232876712329,75.58904109589041,7.365883561643836,730
Democratic Republic of Congo,26.401504787961695,0.13358413132694938,74.87414500683994,25.137079343365254,731
Antigua and Barbuda,26.30246913580247,0.1176406035665295,78.67901234567901,10.46635390946502,729
Guinea,26.10478142076503,0.3681284153005464,83.43852459016394,26.78651639344262,732
Jemen,26.1,0.2,34.0,25.0,1
Südkorea,26.1,0.22,84.0,70.2,1
Samoa,26.067812929848692,0.3141540577716644,86.79229711141679,5.5554085281980745,727
Angola,26.061255115961803,0.03421555252387449,75.52387448840382,30.315347885402456,733
Sierra Leone,25.91287671232877,0.45717808219178085,81.53150684931506,24.615157534246574,730
Liberia,25.884836065573772,0.3290983606557377,88.23770491803279,18.691618852459015,732
Burundi,25.716212534059945,0.18986376021798368,62.689373297002724,25.323978201634876,734
Madagascar,25.63375314861461,0.06087321578505458,48.55331654072208,6.591699412258606,1191
Mozambique,25.606548431105047,0.059577080491132334,64.48703956343793,11.117032742155525,733
Panama,25.466986301369865,0.17417808219178083,89.93287671232876,7.797041095890411,730
Cameroon,25.45273224043716,0.22885245901639345,71.6584699453552,23.70054644808743,732
Egypt,25.27277701778386,0.0006155950752393981,43.470588235294116,34.313980848153214,731
Guinea-Bissau,25.23756830601093,0.2637158469945355,72.62021857923497,34.910484972677594,732
Vanuatu,25.220463847203273,0.23886766712141883,86.03683492496589,8.713260572987721,733
Trinidad and Tobago,25.21150684931507,0.20683561643835618,88.48493150684932,9.693480821917808,730
Tanzania,25.20191256830601,0.07784153005464481,53.95765027322405,9.030601092896175,732
Komoren,25.2,0.0,71.0,2.6,1
Uganda,25.1431105047749,0.1607912687585266,66.51978171896316,31.532926330150065,733
Lao People's Democratic Republic,25.0,1.97,95.0,16.0,1
Fiji Islands,24.879291553133516,0.35622615803814717,89.5,5.775313351498638,734
